Tensao [V];Corrente [A]
-10;-9,236613E-11
-9,9;-7,019835E-11
-9,8;-6,502487E-11
-9,7;-6,161857E-11
-9,6;-5,61155E-11
-9,5;-5,309921E-11
-9,4;-5,168493E-11
-9,3;-5,137514E-11
-9,2;-4,897842E-11
-9,1;-4,665944E-11
-9;-4,510074E-11
-8,9;-4,261023E-11
-8,8;-4,249053E-11
-8,7;-4,000618E-11
-8,6;-3,935948E-11
-8,5;-3,903242E-11
-8,4;-3,654559E-11
-8,3;-3,597296E-11
-8,2;-3,608279E-11
-8,1;-3,543487E-11
-8;-3,223474E-11
-7,9;-2,87643E-11
-7,8;-2,99639E-11
-7,7;-3,000462E-11
-7,6;-2,644658E-11
-7,5;-2,565054E-11
-7,4;-2,57073E-11
-7,3;-2,378328E-11
-7,2;-2,250841E-11
-7,1;-2,043256E-11
-7;-2,150135E-11
-6,9;-2,164451E-11
-6,8;-1,758167E-11
-6,7;-1,606121E-11
-6,6;-1,743359E-11
-6,5;-1,583044E-11
-6,4;-1,257104E-11
-6,3;-1,060134E-11
-6,2;-1,085064E-11
-6,1;-9,50171E-12
-6;-7,265435E-12
-5,9;-6,801395E-12
-5,8;-6,781646E-12
-5,7;-7,201259E-12
-5,6;-3,99741E-12
-5,5;-1,887016E-12
-5,4;-1,271176E-12
-5,3;-1,645123E-12
-5,2;1,874721E-12
-5,1;2,436276E-12
-5;5,430403E-12
-4,9;5,45139E-12
-4,8;6,325188E-12
-4,7;1,050414E-11
-4,6;1,032764E-11
-4,5;1,423631E-11
-4,4;1,472134E-11
-4,3;1,777842E-11
-4,2;1,926313E-11
-4,1;2,076636E-11
-4;2,401722E-11
-3,9;2,640412E-11
-3,8;2,874414E-11
-3,7;2,893792E-11
-3,6;3,231708E-11
-3,5;3,744637E-11
-3,4;3,762901E-11
-3,3;3,98839E-11
-3,2;4,281753E-11
-3,1;4,602393E-11
-3;4,841702E-11
-2,9;4,996716E-11
-2,8;5,453242E-11
-2,7;5,862247E-11
-2,6;6,021707E-11
-2,5;6,169315E-11
-2,4;6,428614E-11
-2,3;6,898104E-11
-2,2;7,050763E-11
-2,1;7,417939E-11
-2;7,679836E-11
-1,9;8,374927E-11
-1,8;8,772828E-11
-1,7;9,158382E-11
-1,6;9,447434E-11
-1,5;9,992446E-11
-1,4;1,061398E-10
-1,3;1,097413E-10
-1,2;1,165391E-10
-1,1;1,303718E-10
-1;1,47991E-10
-0,9;1,83285E-10
-0,8;2,476808E-10
-0,7;3,568086E-10
-0,6;5,332687E-10
-0,5;8,446235E-10
-0,4;1,293126E-09
-0,3;1,888146E-09
-0,2;2,837006E-09
-0,1;3,424871E-09
0;4,484581E-09
0,1;5,25098E-09
0,2;6,26185E-09
0,3;7,243137E-09
0,4;8,264665E-09
0,5;9,281458E-09
0,6;1,037875E-08
0,7;1,144298E-08
0,8;1,252738E-08
0,9;1,35856E-08
1;1,465859E-08
1,1;1,567405E-08
1,2;1,667779E-08
1,3;1,761303E-08
1,4;1,850204E-08
1,5;1,935781E-08
1,6;2,020586E-08
1,7;2,128801E-08
1,8;2,205946E-08
1,9;2,273887E-08
2;2,344514E-08
2,1;2,410855E-08
2,2;2,471464E-08
2,3;2,530293E-08
2,4;2,581689E-08
2,5;2,635418E-08
2,6;2,685786E-08
2,7;2,734839E-08
2,8;2,786974E-08
2,9;2,832517E-08
3;2,873458E-08
3,1;2,921107E-08
3,2;2,959264E-08
3,3;2,99661E-08
3,4;3,042E-08
3,5;3,07685E-08
3,6;3,117253E-08
3,7;3,152589E-08
3,8;3,194761E-08
3,9;3,231737E-08
4;3,269535E-08
4,1;3,300851E-08
4,2;3,324003E-08
4,3;3,360458E-08
4,4;3,394014E-08
4,5;3,42176E-08
4,6;3,454889E-08
4,7;3,478631E-08
4,8;3,506937E-08
4,9;3,53152E-08
5;3,56702E-08
5,1;3,593031E-08
5,2;3,621413E-08
5,3;3,637235E-08
5,4;3,669726E-08
5,5;3,702845E-08
5,6;3,7351E-08
5,7;3,755997E-08
5,8;3,776356E-08
5,9;3,805349E-08
6;3,829668E-08
6,1;3,856607E-08
6,2;3,877694E-08
6,3;3,904871E-08
6,4;3,91757E-08
6,5;3,94008E-08
6,6;3,972138E-08
6,7;3,989447E-08
6,8;4,020385E-08
6,9;4,038914E-08
7;4,064512E-08
7,1;4,083541E-08
7,2;4,109502E-08
7,3;4,132541E-08
7,4;4,15171E-08
7,5;4,162992E-08
7,6;4,18755E-08
7,7;4,195561E-08
7,8;4,231462E-08
7,9;4,241906E-08
8;4,246279E-08
8,1;4,271878E-08
8,2;4,29069E-08
8,3;4,314802E-08
8,4;4,326181E-08
8,5;4,324892E-08
8,6;4,354687E-08
8,7;4,356908E-08
8,8;4,374872E-08
8,9;4,386915E-08
9;4,401808E-08
9,1;4,424627E-08
9,2;4,434504E-08
9,3;4,456715E-08
9,4;4,461026E-08
9,5;4,471681E-08
9,6;4,478503E-08
9,7;4,507007E-08
9,8;4,52258E-08
9,9;4,535364E-08
10;4,558933E-08
