Tensao [V];Corrente [A]
-10;-1,014028E-10
-9,9;-8,061478E-11
-9,8;-7,543007E-11
-9,7;-7,301366E-11
-9,6;-6,629865E-11
-9,5;-6,555933E-11
-9,4;-6,376741E-11
-9,3;-6,12312E-11
-9,2;-5,653402E-11
-9,1;-5,636618E-11
-9;-5,681294E-11
-8,9;-5,507896E-11
-8,8;-5,101984E-11
-8,7;-4,931177E-11
-8,6;-5,041632E-11
-8,5;-4,8981E-11
-8,4;-4,654605E-11
-8,3;-4,393087E-11
-8,2;-4,273249E-11
-8,1;-4,537976E-11
-8;-4,319405E-11
-7,9;-3,924603E-11
-7,8;-4,092447E-11
-7,7;-4,03284E-11
-7,6;-3,739848E-11
-7,5;-3,500793E-11
-7,4;-3,499929E-11
-7,3;-3,212004E-11
-7,2;-3,071557E-11
-7,1;-2,853482E-11
-7;-2,822133E-11
-6,9;-2,753392E-11
-6,8;-2,565554E-11
-6,7;-2,312923E-11
-6,6;-2,367103E-11
-6,5;-2,353527E-11
-6,4;-2,250724E-11
-6,3;-1,948725E-11
-6,2;-1,944406E-11
-6,1;-1,816054E-11
-6;-1,731145E-11
-5,9;-1,444944E-11
-5,8;-1,572679E-11
-5,7;-1,593412E-11
-5,6;-1,3783E-11
-5,5;-1,053225E-11
-5,4;-1,004723E-11
-5,3;-1,003735E-11
-5,2;-5,904185E-12
-5,1;-4,983508E-12
-5;-4,887244E-12
-4,9;-3,77527E-12
-4,8;-3,260631E-12
-4,7;7,837058E-13
-4,6;1,03548E-12
-4,5;1,616781E-12
-4,4;5,787094E-12
-4,3;7,816105E-12
-4,2;9,409443E-12
-4,1;9,436596E-12
-4;1,178402E-11
-3,9;1,504843E-11
-3,8;1,688985E-11
-3,7;1,774143E-11
-3,6;1,951865E-11
-3,5;2,350137E-11
-3,4;2,469361E-11
-3,3;2,548102E-11
-3,2;2,709657E-11
-3,1;3,057696E-11
-3;3,44301E-11
-2,9;3,40586E-11
-2,8;3,816354E-11
-2,7;4,126626E-11
-2,6;4,465041E-11
-2,5;4,578832E-11
-2,4;4,843194E-11
-2,3;5,392779E-11
-2,2;5,718354E-11
-2,1;5,837825E-11
-2;6,122306E-11
-1,9;6,562297E-11
-1,8;6,840975E-11
-1,7;7,0261E-11
-1,6;7,431406E-11
-1,5;7,993827E-11
-1,4;8,309283E-11
-1,3;8,489847E-11
-1,2;9,136938E-11
-1,1;9,802655E-11
-1;1,025215E-10
-0,9;1,056946E-10
-0,8;1,12427E-10
-0,7;1,220993E-10
-0,6;1,376477E-10
-0,5;2,188423E-10
-0,4;5,567933E-10
-0,3;1,43873E-09
-0,2;3,845094E-09
-0,1;5,194646E-09
0;8,127858E-09
0,1;1,009247E-08
0,2;1,264608E-08
0,3;1,485304E-08
0,4;1,704977E-08
0,5;2,041482E-08
0,6;2,298115E-08
0,7;2,523394E-08
0,8;2,740723E-08
0,9;2,992142E-08
1;3,204974E-08
1,1;3,408826E-08
1,2;3,633417E-08
1,3;3,867513E-08
1,4;4,073484E-08
1,5;4,284084E-08
1,6;4,490861E-08
1,7;4,699704E-08
1,8;4,890936E-08
1,9;5,066161E-08
2;5,239347E-08
2,1;5,399272E-08
2,2;5,550818E-08
2,3;5,683734E-08
2,4;5,813569E-08
2,5;5,955861E-08
2,6;6,081131E-08
2,7;6,223465E-08
2,8;6,351448E-08
2,9;6,483712E-08
3;6,588526E-08
3,1;6,713122E-08
3,2;6,836995E-08
3,3;6,950392E-08
3,4;7,062125E-08
3,5;7,159153E-08
3,6;7,275054E-08
3,7;7,36899E-08
3,8;7,480198E-08
3,9;7,579538E-08
4;7,680853E-08
4,1;7,772744E-08
4,2;7,868982E-08
4,3;7,957664E-08
4,4;8,036701E-08
4,5;8,121858E-08
4,6;8,199959E-08
4,7;8,285252E-08
4,8;8,362824E-08
4,9;8,446737E-08
5;8,532452E-08
5,1;8,576646E-08
5,2;8,650367E-08
5,3;8,71346E-08
5,4;8,810488E-08
5,5;8,853865E-08
5,6;8,914402E-08
5,7;9,007633E-08
5,8;9,047611E-08
5,9;9,119779E-08
6;9,187122E-08
6,1;9,237568E-08
6,2;9,290922E-08
6,3;9,365215E-08
6,4;9,419821E-08
6,5;9,454455E-08
6,6;9,496678E-08
6,7;9,539672E-08
6,8;9,602483E-08
6,9;9,632485E-08
7;9,687772E-08
7,1;9,728164E-08
7,2;9,763013E-08
7,3;9,795727E-08
7,4;9,857686E-08
7,5;9,8686E-08
7,6;9,913705E-08
7,7;9,935689E-08
7,8;9,974421E-08
7,9;1,000736E-07
8;1,004852E-07
8,1;1,007419E-07
8,2;1,012936E-07
8,3;1,015804E-07
8,4;1,019045E-07
8,5;1,021287E-07
8,6;1,025664E-07
8,7;1,027689E-07
8,8;1,0305E-07
8,9;1,034106E-07
9;1,037455E-07
9,1;1,039665E-07
9,2;1,044343E-07
9,3;1,044439E-07
9,4;1,048596E-07
9,5;1,051529E-07
9,6;1,054967E-07
9,7;1,059459E-07
9,8;1,058969E-07
9,9;1,062231E-07
10;1,066249E-07
