Tensao [V];Corrente [A]
-10;-1,771661E-10
-9,9;-1,516043E-10
-9,8;-1,386851E-10
-9,7;-1,337498E-10
-9,6;-1,274099E-10
-9,5;-1,206369E-10
-9,4;-1,154091E-10
-9,3;-1,105811E-10
-9,2;-1,087743E-10
-9,1;-1,039513E-10
-9;-1,030614E-10
-8,9;-9,955643E-11
-8,8;-9,706225E-11
-8,7;-9,666601E-11
-8,6;-9,258102E-11
-8,5;-9,250941E-11
-8,4;-9,171831E-11
-8,3;-8,847251E-11
-8,2;-8,468246E-11
-8,1;-8,068623E-11
-8;-8,369389E-11
-7,9;-8,339274E-11
-7,8;-8,219193E-11
-7,7;-7,89733E-11
-7,6;-7,605323E-11
-7,5;-7,523252E-11
-7,4;-7,863513E-11
-7,3;-7,26248E-11
-7,2;-7,104509E-11
-7,1;-6,993191E-11
-7;-6,539759E-11
-6,9;-6,735869E-11
-6,8;-6,370928E-11
-6,7;-7,212124E-11
-6,6;-6,332428E-11
-6,5;-5,990445E-11
-6,4;-6,246529E-11
-6,3;-5,996862E-11
-6,2;-5,734234E-11
-6,1;-5,556266E-11
-6;-5,865793E-11
-5,9;-5,572807E-11
-5,8;-5,579965E-11
-5,7;-5,010283E-11
-5,6;-5,304377E-11
-5,5;-4,838364E-11
-5,4;-5,068532E-11
-5,3;-4,670271E-11
-5,2;-4,530814E-11
-5,1;-4,779247E-11
-5;-4,500208E-11
-4,9;-3,970384E-11
-4,8;-3,673818E-11
-4,7;-3,651975E-11
-4,6;-3,74873E-11
-4,5;-3,735649E-11
-4,4;-3,387865E-11
-4,3;-3,248158E-11
-4,2;-3,096483E-11
-4,1;-3,057113E-11
-4;-2,964552E-11
-3,9;-2,862119E-11
-3,8;-2,563453E-11
-3,7;-2,276514E-11
-3,6;-1,859371E-11
-3,5;-2,196419E-11
-3,4;-2,105336E-11
-3,3;-1,839008E-11
-3,2;-1,432972E-11
-3,1;-1,303633E-11
-3;-7,074156E-12
-2,9;-4,375066E-12
-2,8;-1,479749E-12
-2,7;2,999065E-12
-2,6;1,099166E-11
-2,5;1,374018E-11
-2,4;1,943596E-11
-2,3;2,652758E-11
-2,2;3,352296E-11
-2,1;3,942235E-11
-2;4,731248E-11
-1,9;5,720203E-11
-1,8;6,606347E-11
-1,7;7,798816E-11
-1,6;9,215661E-11
-1,5;1,118876E-10
-1,4;1,377228E-10
-1,3;1,688551E-10
-1,2;2,175524E-10
-1,1;3,074863E-10
-1;5,255719E-10
-0,9;9,804423E-10
-0,8;1,906182E-09
-0,7;4,272935E-09
-0,6;6,368559E-09
-0,5;1,036317E-08
-0,4;1,65201E-08
-0,3;2,824108E-08
-0,2;3,792128E-08
-0,1;4,856048E-08
0;5,974596E-08
0,1;7,121649E-08
0,2;8,274723E-08
0,3;9,430387E-08
0,4;1,04739E-07
0,5;1,153974E-07
0,6;1,257012E-07
0,7;1,354383E-07
0,8;1,448758E-07
0,9;1,54197E-07
1;1,630891E-07
1,1;1,703055E-07
1,2;1,77629E-07
1,3;1,84923E-07
1,4;1,911508E-07
1,5;1,968501E-07
1,6;2,022537E-07
1,7;2,081443E-07
1,8;2,139036E-07
1,9;2,192486E-07
2;2,243523E-07
2,1;2,282904E-07
2,2;2,329759E-07
2,3;2,366762E-07
2,4;2,408522E-07
2,5;2,451169E-07
2,6;2,489742E-07
2,7;2,528128E-07
2,8;2,561432E-07
2,9;2,596655E-07
3;2,634189E-07
3,1;2,663663E-07
3,2;2,693225E-07
3,3;2,725561E-07
3,4;2,760148E-07
3,5;2,78917E-07
3,6;2,7989E-07
3,7;2,830274E-07
3,8;2,859379E-07
3,9;2,886012E-07
4;2,904041E-07
4,1;2,93154E-07
4,2;2,957796E-07
4,3;2,988769E-07
4,4;3,005765E-07
4,5;3,032594E-07
4,6;3,04803E-07
4,7;3,073267E-07
4,8;3,102599E-07
4,9;3,119662E-07
5;3,126692E-07
5,1;3,152557E-07
5,2;3,178149E-07
5,3;3,189128E-07
5,4;3,203527E-07
5,5;3,219553E-07
5,6;3,226644E-07
5,7;3,244436E-07
5,8;3,258576E-07
5,9;3,283137E-07
6;3,300372E-07
6,1;3,329564E-07
6,2;3,320026E-07
6,3;3,346009E-07
6,4;3,349724E-07
6,5;3,355951E-07
6,6;3,379666E-07
6,7;3,401039E-07
6,8;3,405591E-07
6,9;3,413189E-07
7;3,429938E-07
7,1;3,440701E-07
7,2;3,42975E-07
7,3;3,467473E-07
7,4;3,488087E-07
7,5;3,498998E-07
7,6;3,507851E-07
7,7;3,514402E-07
7,8;3,539391E-07
7,9;3,534113E-07
8;3,542073E-07
8,1;3,555561E-07
8,2;3,570035E-07
8,3;3,582277E-07
8,4;3,58885E-07
8,5;3,604509E-07
8,6;3,617511E-07
8,7;3,620379E-07
8,8;3,64355E-07
8,9;3,65044E-07
9;3,654707E-07
9,1;3,665602E-07
9,2;3,691576E-07
9,3;3,702845E-07
9,4;3,707787E-07
9,5;3,71869E-07
9,6;3,73235E-07
9,7;3,738218E-07
9,8;3,749179E-07
9,9;3,762362E-07
10;3,768036E-07
