Tensao [V];Corrente [A]
-10;-6,034123E-11
-9,9;-4,685076E-11
-9,8;-4,459839E-11
-9,7;-4,352601E-11
-9,6;-4,286075E-11
-9,5;-4,182779E-11
-9,4;-4,111568E-11
-9,3;-4,015057E-11
-9,2;-3,840549E-11
-9,1;-3,770943E-11
-9;-3,797353E-11
-8,9;-3,74083E-11
-8,8;-3,518682E-11
-8,7;-3,503501E-11
-8,6;-3,459937E-11
-8,5;-3,422418E-11
-8,4;-3,334299E-11
-8,3;-3,220759E-11
-8,2;-3,121902E-11
-8,1;-3,005399E-11
-8;-3,061554E-11
-7,9;-2,942827E-11
-7,8;-2,802382E-11
-7,7;-2,7835E-11
-7,6;-2,732529E-11
-7,5;-2,745486E-11
-7,4;-2,661071E-11
-7,3;-2,534078E-11
-7,2;-2,427817E-11
-7,1;-2,444727E-11
-7;-2,379932E-11
-6,9;-2,166056E-11
-6,8;-2,150998E-11
-6,7;-2,086082E-11
-6,6;-2,0983E-11
-6,5;-1,907873E-11
-6,4;-1,820247E-11
-6,3;-1,970937E-11
-6,2;-1,818272E-11
-6,1;-1,679307E-11
-6;-1,589954E-11
-5,9;-1,663633E-11
-5,8;-1,615624E-11
-5,7;-1,379532E-11
-5,6;-1,42828E-11
-5,5;-1,335472E-11
-5,4;-1,262288E-11
-5,3;-1,227609E-11
-5,2;-1,169233E-11
-5,1;-1,087903E-11
-5;-1,046682E-11
-4,9;-1,021999E-11
-4,8;-1,028787E-11
-4,7;-8,434173E-12
-4,6;-6,893955E-12
-4,5;-6,935917E-12
-4,4;-6,253434E-12
-4,3;-5,545033E-12
-4,2;-6,095465E-12
-4,1;-4,579929E-12
-4;-3,95298E-12
-3,9;-2,275774E-12
-3,8;-2,428807E-12
-3,7;-2,043753E-12
-3,6;-5,874575E-13
-3,5;-5,405599E-13
-3,4;-8,947609E-13
-3,3;9,367422E-13
-3,2;2,368397E-12
-3,1;1,424245E-12
-3;7,78767E-13
-2,9;2,816405E-12
-2,8;3,91236E-12
-2,7;4,235719E-12
-2,6;3,295269E-12
-2,5;5,066325E-12
-2,4;6,201772E-12
-2,3;6,771964E-12
-2,2;6,881809E-12
-2,1;7,255768E-12
-2;9,200839E-12
-1,9;9,621704E-12
-1,8;9,631574E-12
-1,7;1,080034E-11
-1,6;1,150013E-11
-1,5;1,222706E-11
-1,4;1,391172E-11
-1,3;1,381546E-11
-1,2;1,414375E-11
-1,1;1,501754E-11
-1;1,582223E-11
-0,9;1,653683E-11
-0,8;1,746988E-11
-0,7;1,854239E-11
-0,6;1,898297E-11
-0,5;1,91496E-11
-0,4;2,193022E-11
-0,3;2,26337E-11
-0,2;2,234614E-11
-0,1;2,305331E-11
0;1,978643E-11
0,1;2,088734E-11
0,2;2,075158E-11
0,3;2,048992E-11
0,4;1,926683E-11
0,5;1,988271E-11
0,6;2,159205E-11
0,7;2,216348E-11
0,8;2,215485E-11
0,9;2,286327E-11
1;2,36593E-11
1,1;2,458619E-11
1,2;2,544764E-11
1,3;2,518108E-11
1,4;2,590676E-11
1,5;2,659051E-11
1,6;2,661395E-11
1,7;2,825172E-11
1,8;2,950811E-11
1,9;3,006226E-11
2;2,996353E-11
2,1;3,060038E-11
2,2;3,142971E-11
2,3;3,184074E-11
2,4;3,16482E-11
2,5;3,246893E-11
2,6;3,382034E-11
2,7;3,369324E-11
2,8;3,460777E-11
2,9;3,47559E-11
3;3,485953E-11
3,1;3,57494E-11
3,2;3,723413E-11
3,3;3,85226E-11
3,4;3,81511E-11
3,5;3,853E-11
3,6;3,903478E-11
3,7;3,936676E-11
3,8;4,094654E-11
3,9;4,137478E-11
4;4,149081E-11
4,1;4,205484E-11
4,2;4,348525E-11
4,3;4,421713E-11
4,4;4,369752E-11
4,5;4,465895E-11
4,6;4,490827E-11
4,7;4,617086E-11
4,8;4,622019E-11
4,9;4,663734E-11
5;4,733836E-11
5,1;4,735565E-11
5,2;4,848492E-11
5,3;4,906748E-11
5,4;4,979192E-11
5,5;4,974996E-11
5,6;5,13618E-11
5,7;5,176166E-11
5,8;5,093602E-11
5,9;5,290827E-11
6;5,414367E-11
6,1;5,52199E-11
6,2;5,497425E-11
6,3;5,582709E-11
6,4;5,588631E-11
6,5;5,631586E-11
6,6;5,582711E-11
6,7;5,678728E-11
6,8;5,706867E-11
6,9;5,666755E-11
7;5,8272E-11
7,1;5,939393E-11
7,2;5,924331E-11
7,3;6,012331E-11
7,4;6,053675E-11
7,5;6,12612E-11
7,6;6,145251E-11
7,7;6,32816E-11
7,8;6,429857E-11
7,9;6,408006E-11
8;6,381101E-11
8,1;6,469839E-11
8,2;6,537477E-11
8,3;6,557341E-11
8,4;6,718281E-11
8,5;6,785175E-11
8,6;6,845526E-11
8,7;6,839353E-11
8,8;6,858981E-11
8,9;6,904641E-11
9;6,938577E-11
9,1;6,986473E-11
9,2;7,109888E-11
9,3;7,077681E-11
9,4;7,039793E-11
9,5;7,177646E-11
9,6;7,276015E-11
9,7;7,312417E-11
9,8;7,409302E-11
9,9;7,428677E-11
10;7,468912E-11
