Tensao [V];Corrente [A]
-10;-5,720157E-11
-9,9;-4,386163E-11
-9,8;-4,164757E-11
-9,7;-4,180677E-11
-9,6;-3,966799E-11
-9,5;-4,004935E-11
-9,4;-3,98198E-11
-9,3;-3,781679E-11
-9,2;-3,612109E-11
-9,1;-3,69319E-11
-9;-3,659619E-11
-8,9;-3,440067E-11
-8,8;-3,241245E-11
-8,7;-3,381073E-11
-8,6;-3,25223E-11
-8,5;-3,075004E-11
-8,4;-2,943197E-11
-8,3;-3,035267E-11
-8,2;-3,126222E-11
-8,1;-2,855203E-11
-8;-2,62997E-11
-7,9;-2,780042E-11
-7,8;-2,791029E-11
-7,7;-2,564809E-11
-7,6;-2,384375E-11
-7,5;-2,449908E-11
-7,4;-2,411402E-11
-7,3;-2,328469E-11
-7,2;-2,168153E-11
-7,1;-2,157785E-11
-7;-2,25985E-11
-6,9;-1,933293E-11
-6,8;-1,922434E-11
-6,7;-2,025238E-11
-6,6;-1,935146E-11
-6,5;-1,776187E-11
-6,4;-1,60353E-11
-6,3;-1,689056E-11
-6,2;-1,722379E-11
-6,1;-1,411125E-11
-6;-1,284502E-11
-5,9;-1,388047E-11
-5,8;-1,531948E-11
-5,7;-1,178611E-11
-5,6;-9,917625E-12
-5,5;-1,138872E-11
-5,4;-1,145166E-11
-5,3;-9,605376E-12
-5,2;-7,881275E-12
-5,1;-8,719258E-12
-5;-9,221559E-12
-4,9;-7,418467E-12
-4,8;-5,814075E-12
-4,7;-6,665633E-12
-4,6;-6,639723E-12
-4,5;-4,660148E-12
-4,4;-3,291475E-12
-4,3;-3,957918E-12
-4,2;-3,777729E-12
-4,1;-2,146186E-12
-4;-4,331892E-13
-3,9;-6,207793E-13
-3,8;-7,380234E-13
-3,7;7,911086E-13
-3,6;1,995673E-12
-3,5;1,682189E-12
-3,4;1,132976E-12
-3,3;3,945685E-12
-3,2;6,051199E-12
-3,1;5,144075E-12
-3;3,607517E-12
-2,9;4,913276E-12
-2,8;6,599176E-12
-2,7;6,417752E-12
-2,6;5,666136E-12
-2,5;6,844782E-12
-2,4;9,800651E-12
-2,3;9,648844E-12
-2,2;8,623238E-12
-2,1;1,071765E-11
-2;1,243686E-11
-1,9;1,212215E-11
-1,8;1,160503E-11
-1,7;1,276022E-11
-1,6;1,580865E-11
-1,5;1,469419E-11
-1,4;1,42252E-11
-1,3;1,590246E-11
-1,2;1,745506E-11
-1,1;1,752418E-11
-1;1,70416E-11
-0,9;1,801538E-11
-0,8;1,965808E-11
-0,7;2,016656E-11
-0,6;1,92977E-11
-0,5;2,031344E-11
-0,4;2,231651E-11
-0,3;2,103913E-11
-0,2;2,157478E-11
-0,1;2,236217E-11
0;1,83918E-11
0,1;2,048251E-11
0,2;2,028011E-11
0,3;1,831776E-11
0,4;1,812276E-11
0,5;1,981234E-11
0,6;1,945196E-11
0,7;1,882746E-11
0,8;1,933842E-11
0,9;2,096507E-11
1;2,146985E-11
1,1;1,793392E-11
1,2;1,765746E-11
1,3;1,89114E-11
1,4;1,948406E-11
1,5;1,984689E-11
1,6;1,981358E-11
1,7;2,185615E-11
1,8;2,202895E-11
1,9;2,116007E-11
2;2,193019E-11
2,1;2,343344E-11
2,2;2,381481E-11
2,3;2,471083E-11
2,4;2,460098E-11
2,5;2,513168E-11
2,6;2,645101E-11
2,7;2,669664E-11
2,8;2,548095E-11
2,9;2,741985E-11
3;2,877006E-11
3,1;2,766547E-11
3,2;2,773827E-11
3,3;2,875894E-11
3,4;3,019183E-11
3,5;2,967224E-11
3,6;2,907366E-11
3,7;3,126558E-11
3,8;3,221711E-11
3,9;3,213321E-11
4;3,240101E-11
4,1;3,270586E-11
4,2;3,385735E-11
4,3;3,322915E-11
4,4;3,345379E-11
4,5;3,519521E-11
4,6;3,689468E-11
4,7;3,629981E-11
4,8;3,640595E-11
4,9;3,791043E-11
5;4,004679E-11
5,1;4,10292E-11
5,2;4,00468E-11
5,3;4,116867E-11
5,4;4,270155E-11
5,5;4,167219E-11
5,6;4,137598E-11
5,7;4,099835E-11
5,8;4,275212E-11
5,9;4,282247E-11
6;4,240654E-11
6,1;4,426153E-11
6,2;4,386904E-11
6,3;4,47922E-11
6,4;4,381971E-11
6,5;4,521678E-11
6,6;4,677926E-11
6,7;4,677433E-11
6,8;4,595853E-11
6,9;4,686935E-11
7;4,794188E-11
7,1;4,862931E-11
7,2;4,749756E-11
7,3;4,908472E-11
7,4;4,94982E-11
7,5;5,04621E-11
7,6;5,083601E-11
7,7;5,135316E-11
7,8;5,241949E-11
7,9;5,236641E-11
8;5,204676E-11
8,1;5,288973E-11
8,2;5,357715E-11
8,3;5,480393E-11
8,4;5,524698E-11
8,5;5,531489E-11
8,6;5,572465E-11
8,7;5,593569E-11
8,8;5,721178E-11
8,9;5,726861E-11
9;5,818316E-11
9,1;5,978133E-11
9,2;5,96592E-11
9,3;5,967525E-11
9,4;6,037378E-11
9,5;6,104893E-11
9,6;6,081688E-11
9,7;6,112174E-11
9,8;6,207697E-11
9,9;6,281995E-11
10;6,367768E-11
