Tensao [V];Corrente [A]
-10;-1,598976E-10
-9,9;-1,354824E-10
-9,8;-1,239987E-10
-9,7;-1,190176E-10
-9,6;-1,160631E-10
-9,5;-1,120447E-10
-9,4;-1,0822E-10
-9,3;-1,02517E-10
-9,2;-1,015322E-10
-9,1;-1,00187E-10
-9;-9,533547E-11
-8,9;-9,291293E-11
-8,8;-9,078033E-11
-8,7;-9,106906E-11
-8,6;-8,86119E-11
-8,5;-8,475395E-11
-8,4;-8,383204E-11
-8,3;-8,176854E-11
-8,2;-8,064051E-11
-8,1;-7,745148E-11
-8;-7,621856E-11
-7,9;-7,688252E-11
-7,8;-7,31122E-11
-7,7;-7,277776E-11
-7,6;-6,891486E-11
-7,5;-6,87384E-11
-7,4;-6,892232E-11
-7,3;-6,581345E-11
-7,2;-6,566415E-11
-7,1;-6,637625E-11
-7;-6,393015E-11
-6,9;-5,99451E-11
-6,8;-5,961431E-11
-6,7;-6,044364E-11
-6,6;-5,829502E-11
-6,5;-5,450618E-11
-6,4;-5,601925E-11
-6,3;-5,51072E-11
-6,2;-5,212179E-11
-6,1;-5,019653E-11
-6;-5,000033E-11
-5,9;-4,914502E-11
-5,8;-4,598438E-11
-5,7;-4,354326E-11
-5,6;-4,339147E-11
-5,5;-4,359754E-11
-5,4;-4,267935E-11
-5,3;-4,039368E-11
-5,2;-3,854864E-11
-5,1;-3,887324E-11
-5;-3,873008E-11
-4,9;-3,349357E-11
-4,8;-3,099935E-11
-4,7;-3,335658E-11
-4,6;-3,199532E-11
-4,5;-2,744994E-11
-4,4;-2,400173E-11
-4,3;-2,248497E-11
-4,2;-2,046837E-11
-4,1;-1,496898E-11
-4;-1,374719E-11
-3,9;-1,006942E-11
-3,8;-6,018946E-12
-3,7;-2,494218E-12
-3,6;1,819184E-12
-3,5;4,887367E-12
-3,4;8,554122E-12
-3,3;1,462877E-11
-3,2;1,958774E-11
-3,1;2,386665E-11
-3;2,790985E-11
-2,9;3,335628E-11
-2,8;3,918535E-11
-2,7;4,31878E-11
-2,6;4,948955E-11
-2,5;5,372648E-11
-2,4;6,229665E-11
-2,3;6,890079E-11
-2,2;7,830901E-11
-2,1;8,968694E-11
-2;1,012722E-10
-1,9;1,11985E-10
-1,8;1,249143E-10
-1,7;1,456387E-10
-1,6;1,792714E-10
-1,5;2,383433E-10
-1,4;3,522992E-10
-1,3;5,44084E-10
-1,2;8,37045E-10
-1,1;1,234254E-09
-1;1,752663E-09
-0,9;2,542135E-09
-0,8;3,166546E-09
-0,7;4,136087E-09
-0,6;5,301208E-09
-0,5;6,905871E-09
-0,4;8,887723E-09
-0,3;1,148484E-08
-0,2;1,445981E-08
-0,1;1,801985E-08
0;2,361125E-08
0,1;2,793118E-08
0,2;3,238991E-08
0,3;3,682199E-08
0,4;4,1258E-08
0,5;4,560364E-08
0,6;4,993009E-08
0,7;5,413353E-08
0,8;5,813504E-08
0,9;6,195558E-08
1;6,558893E-08
1,1;6,917529E-08
1,2;7,236407E-08
1,3;7,555268E-08
1,4;7,850428E-08
1,5;8,140549E-08
1,6;8,389469E-08
1,7;8,641921E-08
1,8;8,886556E-08
1,9;9,119993E-08
2;9,32524E-08
2,1;9,523784E-08
2,2;9,723712E-08
2,3;9,92021E-08
2,4;1,01114E-07
2,5;1,031485E-07
2,6;1,049382E-07
2,7;1,068274E-07
2,8;1,085348E-07
2,9;1,101074E-07
3;1,114504E-07
3,1;1,129826E-07
3,2;1,142443E-07
3,3;1,157936E-07
3,4;1,170023E-07
3,5;1,182851E-07
3,6;1,195963E-07
3,7;1,210249E-07
3,8;1,225721E-07
3,9;1,236399E-07
4;1,250932E-07
4,1;1,263055E-07
4,2;1,276699E-07
4,3;1,288987E-07
4,4;1,301775E-07
4,5;1,313434E-07
4,6;1,322986E-07
4,7;1,332976E-07
4,8;1,343119E-07
4,9;1,355702E-07
5;1,365747E-07
5,1;1,377106E-07
5,2;1,387895E-07
5,3;1,395897E-07
5,4;1,404145E-07
5,5;1,414209E-07
5,6;1,421086E-07
5,7;1,428938E-07
5,8;1,438639E-07
5,9;1,4451E-07
6;1,451599E-07
6,1;1,460346E-07
6,2;1,466668E-07
6,3;1,474882E-07
6,4;1,484491E-07
6,5;1,491444E-07
6,6;1,501475E-07
6,7;1,507027E-07
6,8;1,514261E-07
6,9;1,51997E-07
7;1,529892E-07
7,1;1,53443E-07
7,2;1,541375E-07
7,3;1,547994E-07
7,4;1,556318E-07
7,5;1,561591E-07
7,6;1,566388E-07
7,7;1,571698E-07
7,8;1,577869E-07
7,9;1,583092E-07
8;1,589905E-07
8,1;1,595579E-07
8,2;1,602202E-07
8,3;1,607159E-07
8,4;1,615893E-07
8,5;1,620339E-07
8,6;1,622568E-07
8,7;1,631477E-07
8,8;1,636156E-07
8,9;1,641882E-07
9;1,64464E-07
9,1;1,649107E-07
9,2;1,6581E-07
9,3;1,662794E-07
9,4;1,669061E-07
9,5;1,672647E-07
9,6;1,678678E-07
9,7;1,682531E-07
9,8;1,68692E-07
9,9;1,692291E-07
10;1,697277E-07
