Tensao [V];Corrente [A]
-10;-1,086289E-10
-9,9;-8,465052E-11
-9,8;-7,664583E-11
-9,7;-7,435891E-11
-9,6;-7,144633E-11
-9,5;-6,957289E-11
-9,4;-6,586304E-11
-9,3;-6,414139E-11
-9,2;-6,227659E-11
-9,1;-6,088568E-11
-9;-6,044137E-11
-8,9;-5,947132E-11
-8,8;-5,816564E-11
-8,7;-5,456433E-11
-8,6;-5,269093E-11
-8,5;-5,078167E-11
-8,4;-4,905882E-11
-8,3;-4,899462E-11
-8,2;-4,907113E-11
-8,1;-4,767777E-11
-8;-4,469855E-11
-7,9;-4,313487E-11
-7,8;-4,426532E-11
-7,7;-4,090474E-11
-7,6;-4,047775E-11
-7,5;-3,844878E-11
-7,4;-3,581389E-11
-7,3;-3,649884E-11
-7,2;-3,321598E-11
-7,1;-3,331225E-11
-7;-3,241994E-11
-6,9;-3,240762E-11
-6,8;-2,916428E-11
-6,7;-2,863234E-11
-6,6;-2,449792E-11
-6,5;-2,568766E-11
-6,4;-2,491631E-11
-6,3;-2,333906E-11
-6,2;-2,075597E-11
-6,1;-1,969955E-11
-6;-2,145326E-11
-5,9;-1,954651E-11
-5,8;-1,750397E-11
-5,7;-1,74065E-11
-5,6;-1,558117E-11
-5,5;-1,399652E-11
-5,4;-1,331774E-11
-5,3;-1,010524E-11
-5,2;-1,009784E-11
-5,1;-8,545277E-12
-5;-8,569959E-12
-4,9;-6,775503E-12
-4,8;-3,144625E-12
-4,7;-8,392265E-13
-4,6;3,998735E-13
-4,5;2,172167E-12
-4,4;3,977785E-12
-4,3;6,337548E-12
-4,2;8,164147E-12
-4,1;1,019686E-11
-4;1,303549E-11
-3,9;1,475101E-11
-3,8;1,882999E-11
-3,7;2,306202E-11
-3,6;2,247457E-11
-3,5;2,267698E-11
-3,4;2,957235E-11
-3,3;3,254554E-11
-3,2;3,401172E-11
-3,1;3,393029E-11
-3;3,742057E-11
-2,9;4,140084E-11
-2,8;4,425673E-11
-2,7;4,641413E-11
-2,6;5,064242E-11
-2,5;5,477941E-11
-2,4;5,765263E-11
-2,3;6,220922E-11
-2,2;6,55218E-11
-2,1;7,010682E-11
-2;7,310831E-11
-1,9;7,767241E-11
-1,8;8,111693E-11
-1,7;8,532561E-11
-1,6;9,11818E-11
-1,5;9,597539E-11
-1,4;9,881775E-11
-1,3;1,048245E-10
-1,2;1,11731E-10
-1,1;1,184721E-10
-1;1,243234E-10
-0,9;1,334638E-10
-0,8;1,441223E-10
-0,7;1,621463E-10
-0,6;2,190867E-10
-0,5;4,722054E-10
-0,4;1,234364E-09
-0,3;3,536422E-09
-0,2;5,374074E-09
-0,1;8,228154E-09
0;1,242664E-08
0,1;1,526752E-08
0,2;2,050347E-08
0,3;2,40221E-08
0,4;2,752484E-08
0,5;3,110243E-08
0,6;3,469653E-08
0,7;3,831136E-08
0,8;4,198973E-08
0,9;4,562468E-08
1;4,926232E-08
1,1;5,277882E-08
1,2;5,623946E-08
1,3;5,951214E-08
1,4;6,27456E-08
1,5;6,566582E-08
1,6;6,850478E-08
1,7;7,122577E-08
1,8;7,384914E-08
1,9;7,623005E-08
2;7,86478E-08
2,1;8,074565E-08
2,2;8,29446E-08
2,3;8,500277E-08
2,4;8,697117E-08
2,5;8,883715E-08
2,6;9,070641E-08
2,7;9,241362E-08
2,8;9,431112E-08
2,9;9,581601E-08
3;9,756565E-08
3,1;9,911826E-08
3,2;1,007105E-07
3,3;1,020847E-07
3,4;1,035891E-07
3,5;1,049736E-07
3,6;1,064086E-07
3,7;1,076723E-07
3,8;1,091486E-07
3,9;1,104483E-07
4;1,117614E-07
4,1;1,129409E-07
4,2;1,141871E-07
4,3;1,153589E-07
4,4;1,165629E-07
4,5;1,177109E-07
4,6;1,188744E-07
4,7;1,200237E-07
4,8;1,21069E-07
4,9;1,219432E-07
5;1,228917E-07
5,1;1,240449E-07
5,2;1,249199E-07
5,3;1,258655E-07
5,4;1,268305E-07
5,5;1,277323E-07
5,6;1,286818E-07
5,7;1,294588E-07
5,8;1,303496E-07
5,9;1,313313E-07
6;1,320383E-07
6,1;1,328133E-07
6,2;1,334303E-07
6,3;1,343604E-07
6,4;1,350118E-07
6,5;1,357258E-07
6,6;1,362935E-07
6,7;1,370655E-07
6,8;1,376173E-07
6,9;1,383328E-07
7;1,388452E-07
7,1;1,39395E-07
7,2;1,397667E-07
7,3;1,404235E-07
7,4;1,409077E-07
7,5;1,415297E-07
7,6;1,420788E-07
7,7;1,424071E-07
7,8;1,428292E-07
7,9;1,43285E-07
8;1,439115E-07
8,1;1,444311E-07
8,2;1,448191E-07
8,3;1,454329E-07
8,4;1,458701E-07
8,5;1,463179E-07
8,6;1,468181E-07
8,7;1,471083E-07
8,8;1,475531E-07
8,9;1,477384E-07
9;1,482134E-07
9,1;1,489702E-07
9,2;1,495225E-07
9,3;1,501949E-07
9,4;1,505102E-07
9,5;1,506495E-07
9,6;1,511906E-07
9,7;1,512736E-07
9,8;1,517455E-07
9,9;1,516861E-07
10;1,519607E-07
