Tensao [V];Corrente [A]
-10;-1,620056E-10
-9,9;-1,361303E-10
-9,8;-1,280714E-10
-9,7;-1,229459E-10
-9,6;-1,128803E-10
-9,5;-1,084569E-10
-9,4;-1,070649E-10
-9,3;-1,034082E-10
-9,2;-9,691157E-11
-9,1;-9,390394E-11
-9;-9,193182E-11
-8,9;-9,275003E-11
-8,8;-8,651505E-11
-8,7;-8,498348E-11
-8,6;-8,469596E-11
-8,5;-8,258561E-11
-8,4;-7,697763E-11
-8,3;-7,514732E-11
-8,2;-7,639014E-11
-8,1;-7,573232E-11
-8;-6,958253E-11
-7,9;-6,76437E-11
-7,8;-7,08698E-11
-7,7;-7,0254E-11
-7,6;-6,569003E-11
-7,5;-6,280216E-11
-7,4;-6,451761E-11
-7,3;-6,319832E-11
-7,2;-5,778162E-11
-7,1;-5,691897E-11
-7;-5,787792E-11
-6,9;-5,76212E-11
-6,8;-5,329059E-11
-6,7;-5,309557E-11
-6,6;-5,457039E-11
-6,5;-5,386694E-11
-6,4;-4,809356E-11
-6,3;-4,518838E-11
-6,2;-4,952147E-11
-6,1;-4,82947E-11
-6;-4,27164E-11
-5,9;-4,285709E-11
-5,8;-4,178212E-11
-5,7;-4,151681E-11
-5,6;-3,752677E-11
-5,5;-3,529543E-11
-5,4;-3,823393E-11
-5,3;-3,710594E-11
-5,2;-3,343806E-11
-5,1;-3,283083E-11
-5;-3,178307E-11
-4,9;-3,170898E-11
-4,8;-2,745735E-11
-4,7;-2,670452E-11
-4,6;-2,616398E-11
-4,5;-2,639228E-11
-4,4;-2,266885E-11
-4,3;-1,888867E-11
-4,2;-1,887137E-11
-4,1;-1,700781E-11
-4;-1,314369E-11
-3,9;-9,899115E-12
-3,8;-1,0083E-11
-3,7;-9,410391E-12
-3,6;-2,665764E-12
-3,5;1,916685E-12
-3,4;2,760869E-12
-3,3;5,943828E-12
-3,2;1,234308E-11
-3,1;1,759699E-11
-3;1,965809E-11
-2,9;2,179693E-11
-2,8;3,002277E-11
-2,7;3,618385E-11
-2,6;3,953588E-11
-2,5;4,253863E-11
-2,4;5,179504E-11
-2,3;5,826708E-11
-2,2;6,408257E-11
-2,1;7,179501E-11
-2;8,141547E-11
-1,9;9,411031E-11
-1,8;1,014685E-10
-1,7;1,137017E-10
-1,6;1,297005E-10
-1,5;1,483675E-10
-1,4;1,724083E-10
-1,3;2,133053E-10
-1,2;3,037057E-10
-1,1;4,853654E-10
-1;8,153082E-10
-0,9;1,353551E-09
-0,8;2,457911E-09
-0,7;3,391117E-09
-0,6;5,051835E-09
-0,5;7,284181E-09
-0,4;1,053613E-08
-0,3;1,461013E-08
-0,2;1,962922E-08
-0,1;2,744255E-08
0;3,393601E-08
0,1;4,068575E-08
0,2;4,737773E-08
0,3;5,411503E-08
0,4;6,082713E-08
0,5;6,733151E-08
0,6;7,352428E-08
0,7;7,953052E-08
0,8;8,545164E-08
0,9;9,115186E-08
1;9,650008E-08
1,1;1,015764E-07
1,2;1,059306E-07
1,3;1,110197E-07
1,4;1,150342E-07
1,5;1,188785E-07
1,6;1,223734E-07
1,7;1,256528E-07
1,8;1,290608E-07
1,9;1,320859E-07
2;1,348359E-07
2,1;1,376415E-07
2,2;1,402786E-07
2,3;1,42891E-07
2,4;1,463828E-07
2,5;1,489863E-07
2,6;1,517581E-07
2,7;1,538993E-07
2,8;1,559469E-07
2,9;1,581088E-07
3;1,60056E-07
3,1;1,620182E-07
3,2;1,638578E-07
3,3;1,662374E-07
3,4;1,688255E-07
3,5;1,696975E-07
3,6;1,711451E-07
3,7;1,727739E-07
3,8;1,746309E-07
3,9;1,764323E-07
4;1,781052E-07
4,1;1,796348E-07
4,2;1,813209E-07
4,3;1,821189E-07
4,4;1,837148E-07
4,5;1,863373E-07
4,6;1,879133E-07
4,7;1,891072E-07
4,8;1,905206E-07
4,9;1,92084E-07
5;1,932113E-07
5,1;1,944113E-07
5,2;1,960512E-07
5,3;1,96932E-07
5,4;1,98177E-07
5,5;1,990951E-07
5,6;2,003517E-07
5,7;2,010877E-07
5,8;2,020845E-07
5,9;2,030352E-07
6;2,040191E-07
6,1;2,052433E-07
6,2;2,060117E-07
6,3;2,068314E-07
6,4;2,078513E-07
6,5;2,08806E-07
6,6;2,095785E-07
6,7;2,099711E-07
6,8;2,110265E-07
6,9;2,119878E-07
7;2,123176E-07
7,1;2,132334E-07
7,2;2,141173E-07
7,3;2,149581E-07
7,4;2,155471E-07
7,5;2,165147E-07
7,6;2,171823E-07
7,7;2,179003E-07
7,8;2,199367E-07
7,9;2,196604E-07
8;2,202531E-07
8,1;2,211006E-07
8,2;2,218236E-07
8,3;2,223591E-07
8,4;2,235732E-07
8,5;2,240499E-07
8,6;2,239878E-07
8,7;2,251653E-07
8,8;2,254307E-07
8,9;2,26789E-07
9;2,274473E-07
9,1;2,256794E-07
9,2;2,283179E-07
9,3;2,284666E-07
9,4;2,295195E-07
9,5;2,30235E-07
9,6;2,309849E-07
9,7;2,314673E-07
9,8;2,321749E-07
9,9;2,32243E-07
10;2,324415E-07
