,V,i,si,sV
0,-10.0,-1.3152013824131618e-11,5.622549906516591e-11,0.0
1,-9.9,-6.589230200505603e-12,5.629819281316412e-11,9.99999999999994e-05
2,-9.8,-4.391656576879601e-12,5.631396166144465e-11,0.0001999999999999988
3,-9.7,-3.7823929532535846e-12,5.6321359258924484e-11,0.0002999999999999999
4,-9.6,1.5325906703724128e-12,5.633700237848959e-11,0.00040000000000000105
5,-9.5,5.04184293998417e-13,5.6340762503784927e-11,0.0005000000000000004
6,-9.4,8.492279176244457e-13,5.6346072351455696e-11,0.0005999999999999998
7,-9.3,1.6855615412504401e-12,5.6353497026831646e-11,0.0006999999999999992
8,-9.2,3.902895164876449e-12,5.636715849937547e-11,0.0008000000000000004
9,-9.1,2.6399087885024503e-12,5.636899188318192e-11,0.0008999999999999998
10,-9.0,1.722482412128471e-12,5.636748419516512e-11,0.0009999999999999992
11,-8.9,2.1564660357544725e-12,5.6372359851745544e-11,0.0011000000000000003
12,-8.8,3.259339659380495e-12,5.638568055656843e-11,0.0011999999999999997
13,-8.7,4.080833283006479e-12,5.638962408744429e-11,0.0013000000000000008
14,-8.6,1.8058769066324886e-12,5.638820696471507e-11,0.0014000000000000002
15,-8.5,2.131240530258511e-12,5.639204634250933e-11,0.0014999999999999996
16,-8.4,2.9502341538845125e-12,5.6399079203545295e-11,0.001599999999999999
17,-8.3,3.69524777751053e-12,5.640703391290606e-11,0.0017000000000000001
18,-8.2,3.170291401136521e-12,5.641167293952736e-11,0.0018000000000000013
19,-8.1,-1.3767749752374619e-12,5.6408532715223094e-11,0.0019000000000000006
20,-8.0,6.357186483885416e-13,5.641197502069223e-11,0.002
21,-7.9,2.6617022720145516e-12,5.642286614897824e-11,0.0020999999999999994
22,-7.8,-1.1559541043594418e-12,5.642228772143674e-11,0.0022000000000000006
23,-7.7,-1.4834704807334265e-12,5.642395231197159e-11,0.0023
24,-7.6,2.019731428925669e-13,5.643124669064134e-11,0.0024000000000000002
25,-7.5,1.9873267665185843e-12,5.6436041182213565e-11,0.0025000000000000005
26,-7.4,4.170503901445925e-13,5.643785075391945e-11,0.0026
27,-7.3,1.2916040137706005e-12,5.6446651520430384e-11,0.0027
28,-7.2,8.986976373966085e-13,5.645188480717018e-11,0.0027999999999999995
29,-7.1,2.5137812610226144e-12,5.6456151175444703e-11,0.0029000000000000007
30,-7.0,1.444554884648626e-12,5.645819081107626e-11,0.003
31,-6.9,-7.415614917253621e-13,5.6464186618329067e-11,0.0030999999999999995
32,-6.8,2.5147213190063627e-13,5.646849000260013e-11,0.0032000000000000006
33,-6.7,1.393855755526648e-12,5.6475225711951114e-11,0.0033
34,-6.6,2.394693791526523e-13,5.6473817280537645e-11,0.0034000000000000002
35,-6.5,-2.2638069972213365e-12,5.6478145341024185e-11,0.0034999999999999996
36,-6.4,-2.846803373595327e-12,5.648218489711512e-11,0.0036
37,-6.3,2.2211999999999946e-13,5.6485393909484295e-11,0.0037
38,-6.2,-1.2729061263433113e-12,5.648872410441737e-11,0.0037999999999999996
39,-6.1,-2.1138025027173052e-12,5.6494394765425344e-11,0.0039000000000000007
40,-6.0,-2.893008879091292e-12,5.64980914255965e-11,0.004
41,-5.9,2.1868900000000006e-12,5.650259980907189e-11,0.0040999999999999995
42,-5.8,4.2945000000000116e-13,5.650090838211482e-11,0.004200000000000001
43,-5.7,-5.8241980082132724e-12,5.650547701120049e-11,0.0043
44,-5.6,4.998000000000008e-13,5.650900595237174e-11,0.0044
45,-5.5,2.8224700000000006e-12,5.6517870896660004e-11,0.0045000000000000005
