,V,i,si,sV
0,-10.0,-3.69323919029525e-11,5.6065261087586534e-11,0.0
1,-9.9,-2.5846162964344956e-11,5.6147995470162785e-11,9.99999999999994e-05
2,-9.8,-1.6164434025737414e-11,5.618009403303073e-11,0.0001999999999999988
3,-9.7,-1.3286615087129872e-11,5.619280965837996e-11,0.0002999999999999999
4,-9.6,-8.597076148522328e-12,5.620763005979329e-11,0.00040000000000000105
5,-9.5,-3.842137209914783e-12,5.622415139271487e-11,0.0005000000000000004
6,-9.4,-3.1154827130722627e-13,5.623672412788233e-11,0.0005999999999999998
7,-9.3,2.5662406673003114e-12,5.62489907592264e-11,0.0006999999999999992
8,-9.2,1.6428596059078305e-12,5.625652506038766e-11,0.0008000000000000004
9,-9.1,4.784698544515387e-12,5.6268210169374895e-11,0.0008999999999999998
10,-9.0,4.953597483122923e-12,5.62695316274301e-11,0.0009999999999999992
11,-8.9,6.908236421730469e-12,5.627815084535889e-11,0.0011000000000000003
12,-8.8,6.195835360338016e-12,5.6288152891475235e-11,0.0011999999999999997
13,-8.7,5.455164298945555e-12,5.628931427122502e-11,0.0013000000000000008
14,-8.6,8.119413237553099e-12,5.629888650457501e-11,0.0014000000000000002
15,-8.5,6.830732176160661e-12,5.629983571884485e-11,0.0014999999999999996
16,-8.4,5.755541114768201e-12,5.63033835930874e-11,0.001599999999999999
17,-8.3,6.880840053375755e-12,5.6312667832601527e-11,0.0017000000000000001
18,-8.2,8.697218991983273e-12,5.6322792513476936e-11,0.0018000000000000013
19,-8.1,1.0543317930590815e-11,5.633372940601607e-11,0.0019000000000000006
20,-8.0,7.112106869198372e-12,5.63261681157756e-11,0.002
21,-7.9,5.240885807805916e-12,5.632932931386135e-11,0.0020999999999999994
22,-7.8,4.052144746413449e-12,5.6334856772966077e-11,0.0022000000000000006
23,-7.7,6.096853685021e-12,5.634207230945665e-11,0.0023
24,-7.6,7.522112623628539e-12,5.634933834649173e-11,0.0024000000000000002
25,-7.5,7.487291562236089e-12,5.635080081163558e-11,0.0025000000000000005
26,-7.4,2.25543050084363e-12,5.6345390431889034e-11,0.0026
27,-7.3,6.010729439451179e-12,5.636081537247625e-11,0.0027
28,-7.2,5.542728378058723e-12,5.636641862943898e-11,0.0027999999999999995
