,V,i,si,sV
0,-10.0,-2.6697390428532886e-11,5.6101742892344385e-11,0.0
1,-9.9,-1.6800008420561953e-11,5.618207005682331e-11,9.99999999999994e-05
2,-9.8,-8.596026412591067e-12,5.6211146409283734e-11,0.0001999999999999988
3,-9.7,-5.71465440462015e-12,5.622396349354879e-11,0.0002999999999999999
4,-9.6,-4.452762396649246e-12,5.623162851264091e-11,0.00040000000000000105
5,-9.5,-2.494670388678331e-12,5.6242326895402634e-11,0.0005000000000000004
6,-9.4,-4.094283807074029e-13,5.625193379260732e-11,0.0005999999999999998
7,-9.3,3.301113627263486e-12,5.626605441500269e-11,0.0006999999999999992
8,-9.2,1.5134856352344033e-12,5.627184916389092e-11,0.0008000000000000004
9,-9.1,1.1352776432052943e-12,5.627617605812179e-11,0.0008999999999999998
10,-9.0,5.223559651176206e-12,5.628588293317773e-11,0.0009999999999999992
11,-8.9,6.053521659147128e-12,5.6292212556811367e-11,0.0011000000000000003
12,-8.8,4.9372936671180354e-12,5.630144932970687e-11,0.0011999999999999997
13,-8.7,3.469405675088937e-12,5.63011608444314e-11,0.0013000000000000008
14,-8.6,4.4635776830598424e-12,5.63072884968459e-11,0.0014000000000000002
15,-8.5,6.91898969103076e-12,5.631625377756262e-11,0.0014999999999999996
16,-8.4,5.932361699001673e-12,5.63200785590114e-11,0.001599999999999999
17,-8.3,5.833113706972575e-12,5.632686072920172e-11,0.0017000000000000001
18,-8.2,4.9452257149434765e-12,5.6331350156654035e-11,0.0018000000000000013
19,-8.1,5.941877722914379e-12,5.634057867085341e-11,0.0019000000000000006
20,-8.0,6.708999730885292e-12,5.634199619485985e-11,0.002
21,-7.9,3.830421738856211e-12,5.634311318080153e-11,0.0020999999999999994
22,-7.8,5.168943746827122e-12,5.635408176658091e-11,0.0022000000000000006
23,-7.7,4.287215754798018e-12,5.6355191243630613e-11,0.0023
24,-7.6,6.613057762768928e-12,5.636445535410257e-11,0.0024000000000000002
25,-7.5,5.8917397707398506e-12,5.636455381028711e-11,0.0025000000000000005
26,-7.4,3.836321778710755e-12,5.63659577985217e-11,0.0026
27,-7.3,4.647913786681658e-12,5.637524054838248e-11,0.0027
28,-7.2,2.7072557946525636e-12,5.637781437845215e-11,0.0027999999999999995
29,-7.1,1.136907802623475e-12,5.637594687879017e-11,0.0029000000000000007
