,V,i,si,sV
0,-10.0,-1.6686199660085275e-11,5.621019605478688e-11,0.0
1,-9.9,-6.936630559236233e-12,5.628964326710767e-11,9.99999999999994e-05
2,-9.8,-1.922651458387174e-12,5.63113857012667e-11,0.0001999999999999988
3,-9.7,-1.4464523575381562e-12,5.631850879639292e-11,0.0002999999999999999
4,-9.6,6.25267433109045e-14,5.632609320197567e-11,0.00040000000000000105
5,-9.5,1.6466584415994288e-13,5.633225671282266e-11,0.0005000000000000004
6,-9.4,2.4240649450089785e-12,5.634163081729726e-11,0.0005999999999999998
7,-9.3,2.442264045858029e-12,5.6347328821121973e-11,0.0006999999999999992
8,-9.2,1.8236431467070565e-12,5.635498630110665e-11,0.0008000000000000004
9,-9.1,1.7801522475561093e-12,5.635941212614146e-11,0.0008999999999999998
10,-9.0,1.7502213484051446e-12,5.6359793118265557e-11,0.0009999999999999992
11,-8.9,1.4167004492541804e-12,5.6363049218165115e-11,0.0011000000000000003
12,-8.8,-2.3744044989676207e-13,5.637053309829352e-11,0.0011999999999999997
13,-8.7,2.473718650952258e-12,5.6378488813219416e-11,0.0013000000000000008
14,-8.6,3.1731377518013125e-12,5.638338486694975e-11,0.0014000000000000002
15,-8.5,3.968866852650355e-12,5.638822879513545e-11,0.0014999999999999996
16,-8.4,4.0721859534993895e-12,5.63937517133345e-11,0.001599999999999999
17,-8.3,2.262645054348444e-12,5.639629783784378e-11,0.0017000000000000001
18,-8.2,4.592241551974703e-13,5.639823408075011e-11,0.0018000000000000013
19,-8.1,-5.078674395348357e-14,5.640366092115479e-11,0.0019000000000000006
20,-8.0,2.7516423568955552e-12,5.640878509456621e-11,0.002
21,-7.9,2.3897114577445988e-12,5.641462032275646e-11,0.0020999999999999994
22,-7.8,-8.835294414063573e-13,5.641520459217869e-11,0.0022000000000000006
23,-7.7,1.5498896594426833e-12,5.642273029785794e-11,0.0023
24,-7.6,7.288287602917209e-13,5.6424717424879215e-11,0.0024000000000000002
25,-7.5,2.1490278611407655e-12,5.642874458201415e-11,0.0025000000000000005
26,-7.4,3.201426961989809e-12,5.6436123297772974e-11,0.0026
27,-7.3,5.082060628388513e-13,5.6437365814538784e-11,0.0027
28,-7.2,1.9901151636878855e-12,5.6446582169142836e-11,0.0027999999999999995
29,-7.1,1.3246042645369289e-12,5.6446019182712034e-11,0.0029000000000000007
30,-7.0,8.306233653859712e-13,5.644928639709522e-11,0.003
31,-6.9,-2.0341575337649803e-12,5.645385116804028e-11,0.0030999999999999995
32,-6.8,3.202615670840546e-13,5.646104849106336e-11,0.0032000000000000006
33,-6.7,-5.352993320669032e-13,5.6463554054472565e-11,0.0033
34,-6.6,2.982959768782134e-12,5.647206338632723e-11,0.0034000000000000002
35,-6.5,-8.493911303688211e-13,5.6473580381310454e-11,0.0034999999999999996
36,-6.4,-1.692642029519775e-12,5.6477075545496895e-11,0.0036
37,-6.3,6.531670713292625e-13,5.6477223509472276e-11,0.0037
38,-6.2,9.712661721782987e-13,5.648594132343353e-11,0.0037999999999999996
39,-6.1,-1.0030472697265995e-13,5.6491130294190723e-11,0.0039000000000000007
40,-6.0,-3.485885626123613e-12,5.6489306468920576e-11,0.004
41,-5.9,-1.5806865252745697e-12,5.6491787437660016e-11,0.0040999999999999995
42,-5.8,-7.565774244255296e-13,5.6497138479019544e-11,0.004200000000000001
43,-5.7,-3.7583683235764926e-12,5.650235395869685e-11,0.0043
44,-5.6,-2.1838992227274525e-12,5.650519151494941e-11,0.0044
45,-5.5,-2.2656701218784074e-12,5.651052176949056e-11,0.0045000000000000005
46,-5.4,-3.0570710210293636e-12,5.651351414921642e-11,0.0046
47,-5.3,2.17085e-12,5.652106471187844e-11,0.0047
48,-5.2,1.59449e-12,5.6522318665219155e-11,0.0048
49,-5.1,2.333753e-12,5.652733753411242e-11,0.004900000000000001
50,-5.0,1.8968610000000002e-12,5.652815953157032e-11,0.005
51,-4.9,3.4444870000000003e-12,5.6532490082082263e-11,0.0050999999999999995
52,-4.8,7.143245000000001e-12,5.654004990058304e-11,0.005200000000000001
53,-4.7,7.5949465e-12,5.654887293904432e-11,0.0053
54,-4.6,7.2938285e-12,5.655476858425495e-11,0.0054
55,-4.5,9.108084e-12,5.655844035532882e-11,0.0055
56,-4.4,1.0231218999999999e-11,5.6563719278296165e-11,0.0056
57,-4.3,1.1882580999999999e-11,5.657022928897453e-11,0.0057
58,-4.2,1.4259612e-11,5.657293891916796e-11,0.0058
59,-4.1,1.4776789e-11,5.6580466488049846e-11,0.005900000000000001
60,-4.0,1.698847e-11,5.6587820883565176e-11,0.006
61,-3.9,1.7026784e-11,5.6595017992602404e-11,0.0061
62,-3.8,2.1258797e-11,5.660335262269049e-11,0.006200000000000001
63,-3.7,2.5105773e-11,5.661315402257002e-11,0.0063
64,-3.6,2.30620275e-11,5.661499320906634e-11,0.0063999999999999994
65,-3.5,2.32175399e-11,5.661552235617581e-11,0.006500000000000001
66,-3.4,3.04671109e-11,5.662941372912433e-11,0.0066
67,-3.3,3.16087978e-11,5.663960883105514e-11,0.0067
68,-3.2,3.1643323e-11,5.664575614940289e-11,0.0068000000000000005
69,-3.1,3.2506045e-11,5.664358276131093e-11,0.0069
70,-3.0,3.6641802999999996e-11,5.6649628851651224e-11,0.007
71,-2.9,3.8584435e-11,5.6662400553234676e-11,0.0071
72,-2.8,4.0344369999999996e-11,5.6670789188808724e-11,0.0072
73,-2.7,4.2178411e-11,5.6676057675838856e-11,0.0073
74,-2.6,4.7347151e-11,5.6683050596995145e-11,0.0074
75,-2.5,4.9713085e-11,5.669559254882765e-11,0.0075
76,-2.4,5.1450858000000005e-11,5.670410317666172e-11,0.007600000000000001
77,-2.3,5.5437256e-11,5.6714995607678096e-11,0.0077
78,-2.2,5.8639991e-11,5.6722270144539644e-11,0.0078
79,-2.1,6.285105200000001e-11,5.6732809992379354e-11,0.0079
80,-2.0,6.3907471e-11,5.6743308513725786e-11,0.008
81,-1.9,6.8050706e-11,5.675390486639812e-11,0.0081
82,-1.8,7.1485356e-11,5.67612517081147e-11,0.0082
83,-1.7,7.452527e-11,5.677267654394669e-11,0.0083
84,-1.6,7.968167e-11,5.6786615329342985e-11,0.0084
85,-1.5,8.374833e-11,5.6798352396775895e-11,0.0085
86,-1.4,8.490602999999999e-11,5.680796334276575e-11,0.0086
87,-1.3,9.100904e-11,5.6820543835699236e-11,0.0087
88,-1.2,9.758725e-11,5.6835940167804266e-11,0.0088
89,-1.1,1.0345456000000001e-10,5.685214036502826e-11,0.0089
90,-1.0,1.0850116999999999e-10,5.686630206947475e-11,0.009000000000000001
91,-0.9,1.1692697e-10,5.6887282635699104e-11,0.0091
92,-0.8,1.2665242e-10,5.6911965447580364e-11,0.0092
93,-0.7,1.4360391e-10,5.695265580098505e-11,0.009300000000000001
94,-0.6,2.0010373e-10,5.707514305560173e-11,0.0094
95,-0.5,4.5305580000000004e-10,5.761887973418717e-11,0.0095
96,-0.4,1.21243378e-09,5.928935681529533e-11,0.009600000000000001
97,-0.3,3.5137883e-09,6.455024789741817e-11,0.0097
98,-0.2,5.3517278600000005e-09,6.89570255301593e-11,0.0098
99,-0.1,8.20510069e-09,7.608953411426149e-11,0.0099
100,0.0,1.240685357e-08,8.70456104690622e-11,0.01
101,0.1,1.5246632660000002e-08,9.469475270933629e-11,0.0101
102,0.2,2.0482718419999998e-08,1.0912995735919974e-10,0.0102
103,0.3,2.400161008e-08,1.1901166730628303e-10,0.0103
104,0.4,2.750557317e-08,1.289540241067608e-10,0.0104
105,0.5,3.108254729e-08,1.3919629655793115e-10,0.0105
106,0.6,3.467493795e-08,1.4955599698546931e-10,0.0106
107,0.7,3.828919652e-08,1.600309120189753e-10,0.0107
108,0.8,4.196757515e-08,1.7073691343933953e-10,0.0108
109,0.9,4.5601816729999994e-08,1.8135577717647606e-10,0.0109
110,1.0,4.92386607e-08,1.9201464948254308e-10,0.011
111,1.1,5.275423381e-08,2.0234440316267276e-10,0.0111
112,1.2,5.621401236e-08,2.125311163375044e-10,0.0112
113,1.3,5.948695892e-08,2.2218059328482657e-10,0.011300000000000001
114,1.4,6.271969324e-08,2.3172885132646286e-10,0.0114
115,1.5,6.563922948999999e-08,2.4036260968035066e-10,0.0115
116,1.6,6.847816605e-08,2.4876431590635464e-10,0.011600000000000001
117,1.7,7.119751828e-08,2.5682477529450553e-10,0.0117
118,1.8,7.381963189e-08,2.646018569315291e-10,0.0118
119,1.9,7.619998774e-08,2.7166453537971753e-10,0.0119
120,2.0,7.861783647000001e-08,2.7884038325012785e-10,0.012
121,2.1,8.071504962e-08,2.850702518046241e-10,0.0121
122,2.2,8.291317029e-08,2.9160335396438777e-10,0.0122
123,2.3,8.497092926e-08,2.9772059698843584e-10,0.0123
124,2.4,8.69395218e-08,3.035729650067627e-10,0.0124
125,2.5,8.880468107000001e-08,3.09123067745494e-10,0.0125
126,2.6,9.067258966e-08,3.14684827902032e-10,0.0126
127,2.7,9.237992675999999e-08,3.1976531995863684e-10,0.0127
128,2.8,9.427651223e-08,3.254140003825424e-10,0.0128
129,2.9,9.578125409999999e-08,3.2989477813180703e-10,0.0129
130,3.0,9.753079047000001e-08,3.3510541291239087e-10,0.013000000000000001
131,3.1,9.908251060000001e-08,3.3973053873183793e-10,0.0131
132,3.2,1.0067326587e-07,2.1519244389528162e-10,0.0132
