,V,i,si,sV
0,-10.0,-3.2205980175639645e-11,5.6097288193871054e-11,0.0
1,-9.9,-2.0851518047709356e-11,5.6180700277502924e-11,9.99999999999994e-05
2,-9.8,-1.6075355919779125e-11,5.6202533502494333e-11,0.0001999999999999988
3,-9.7,-1.3052603791848878e-11,5.6215654701078246e-11,0.0002999999999999999
4,-9.6,-4.682631663918609e-12,5.623836198765189e-11,0.00040000000000000105
5,-9.5,-2.3225595359883463e-12,5.624991810277208e-11,0.0005000000000000004
6,-9.4,-2.6730374080581005e-12,5.6254377974763754e-11,0.0005999999999999998
7,-9.3,-1.0118152801278543e-12,5.62641683766577e-11,0.0006999999999999992
8,-9.2,2.7093668478023984e-12,5.62816285043935e-11,0.0008000000000000004
9,-9.1,3.990568975732656e-12,5.628947460013752e-11,0.0008999999999999998
10,-9.0,5.196421103662915e-12,5.629308800409321e-11,0.0009999999999999992
11,-8.9,2.7826132315931734e-12,5.629255739741059e-11,0.0011000000000000003
12,-8.8,5.765745359523438e-12,5.6310479112644786e-11,0.0011999999999999997
13,-8.7,6.1151374874536685e-12,5.631404451106481e-11,0.0013000000000000008
14,-8.6,4.9366496153839335e-12,5.6315579154425844e-11,0.0014000000000000002
15,-8.5,5.6414417433142025e-12,5.632084494658512e-11,0.0014999999999999996
16,-8.4,9.337863871244444e-12,5.633459316436503e-11,0.001599999999999999
17,-8.3,9.002405999174707e-12,5.6340881974255704e-11,0.0017000000000000001
18,-8.2,5.740648127104945e-12,5.6340350481038825e-11,0.0018000000000000013
19,-8.1,4.203070255035206e-12,5.6344219164342566e-11,0.0019000000000000006
20,-8.0,9.884042382965465e-12,5.6356050913437295e-11,0.002
21,-7.9,9.605234510895712e-12,5.6362680050180585e-11,0.0020999999999999994
22,-7.8,3.94431663882597e-12,5.6358830736339414e-11,0.0022000000000000006
23,-7.7,3.340928766756223e-12,5.636053613749314e-11,0.0023
24,-7.6,6.364820894686475e-12,5.6371285951835755e-11,0.0024000000000000002
25,-7.5,8.35189302261673e-12,5.637712830683863e-11,0.0025000000000000005
26,-7.4,4.761925150546986e-12,5.637528748544864e-11,0.0026
27,-7.3,3.780917278477234e-12,5.638077989567932e-11,0.0027
28,-7.2,7.104639406407499e-12,5.639451217721753e-11,0.0027999999999999995
29,-7.1,7.10602153433775e-12,5.6395980702027055e-11,0.0029000000000000007
30,-7.0,4.468753662268007e-12,5.639532523845664e-11,0.003
31,-6.9,1.5563457901982615e-12,5.640041207334341e-11,0.0030999999999999995
32,-6.8,4.706007918128511e-12,5.6409906809850345e-11,0.0032000000000000006
